departamento,provincia,distrito,D,E,F,G,H,I,J,K,total
SAN MARTIN,LAMAS,CAYNARACHI,,6,3,5,3,,1,1,19
SAN MARTIN,LAMAS,CUÑUMBUQUI,,1,,2,,,,,3
SAN MARTIN,LAMAS,LAMAS,,3,3,3,7,,1,1,18
SAN MARTIN,LAMAS,PINTO RECODO,,1,,,,1,1,2,5
SAN MARTIN,LAMAS,RUMISAPA,,,,2,2,1,1,,6
SAN MARTIN,LAMAS,SAN ROQUE DE CUMBAZA,,,1,1,2,,,,4
SAN MARTIN,LAMAS,SHANAO,,,1,,,,,,1
SAN MARTIN,LAMAS,TABALOSOS,1,3,5,4,6,,1,2,22
SAN MARTIN,LAMAS,ZAPATERO,,1,1,,3,,,2,7
SAN MARTIN,MOYOBAMBA,CALZADA,,,,1,2,1,,,4
SAN MARTIN,MOYOBAMBA,HABANA,,,,1,,,,,1
SAN MARTIN,MOYOBAMBA,JEPELACIO,,,1,,1,1,3,,6
SAN MARTIN,MOYOBAMBA,MOYOBAMBA,,,7,7,7,3,10,4,38
SAN MARTIN,MOYOBAMBA,SORITOR,,,2,3,3,4,,1,13
SAN MARTIN,MOYOBAMBA,YANTALO,,,1,,,2,,,3
SAN MARTIN,MARISCAL CACERES,HUICUNGO,,,,,,,,1,1
SAN MARTIN,MARISCAL CACERES,JUANJUI,,,,7,4,6,5,3,25
SAN MARTIN,MARISCAL CACERES,PAJARILLO,,1,1,,,,,,2
SAN MARTIN,SAN MARTIN,ALBERTO LEVEAU,,1,,,,,,,1
SAN MARTIN,SAN MARTIN,CACATACHI,,1,,,,,,,1
SAN MARTIN,SAN MARTIN,CHAZUTA,,,,3,3,,,1,7
SAN MARTIN,SAN MARTIN,CHIPURANA,,1,1,,,,,,2
SAN MARTIN,SAN MARTIN,HUIMBAYOC,,3,1,,,,,,4
SAN MARTIN,SAN MARTIN,JUAN GUERRA,,,,3,,,,1,4
SAN MARTIN,SAN MARTIN,LA BANDA DE SHILCAYO,,11,1,10,11,,13,10,56
SAN MARTIN,SAN MARTIN,MORALES,,5,1,4,2,,1,,13
SAN MARTIN,SAN MARTIN,SAN ANTONIO,,,,,,,1,,1
SAN MARTIN,SAN MARTIN,SAUCE,,2,1,,,,,,3
SAN MARTIN,SAN MARTIN,SHAPAJA,,1,,,,,1,,2
SAN MARTIN,SAN MARTIN,TARAPOTO,,2,,6,11,1,1,,21
SAN MARTIN,BELLAVISTA,BELLAVISTA,,,,8,6,2,,4,20
SAN MARTIN,BELLAVISTA,SAN PABLO,,,,3,4,,,,7
SAN MARTIN,BELLAVISTA,SAN RAFAEL,,,,1,,,,,1
SAN MARTIN,HUALLAGA,ALTO SAPOSOA,,,,1,,,,2,3
SAN MARTIN,HUALLAGA,PISCOYACU,,2,,1,,1,,1,5
SAN MARTIN,HUALLAGA,SACANCHE,,,1,1,,,1,,3
SAN MARTIN,HUALLAGA,SAPOSOA,5,3,1,6,3,1,1,6,26
SAN MARTIN,EL DORADO,AGUA BLANCA,,,,1,,1,,,2
SAN MARTIN,EL DORADO,SAN JOSE DE SISA,,4,8,6,1,,2,3,24
SAN MARTIN,EL DORADO,SAN MARTIN,1,1,1,1,,,1,,5
SAN MARTIN,EL DORADO,SANTA ROSA,1,,2,,,,,,3
SAN MARTIN,EL DORADO,SHATOJA,,,1,,,,,,1
SAN MARTIN,RIOJA,AWAJUN,,,,,,,2,,2
SAN MARTIN,RIOJA,ELIAS SOPLIN VARGAS,,,,1,,,,2,3
SAN MARTIN,RIOJA,NUEVA CAJAMARCA,,,1,2,1,,,,4
SAN MARTIN,RIOJA,PARDO MIGUEL,,,,1,,,,2,3
SAN MARTIN,RIOJA,RIOJA,,,,,1,,,2,3
TACNA,TACNA,ALTO DE LA ALIANZA,,,,3,1,1,1,1,7
TACNA,TACNA,CIUDAD NUEVA,,,,7,1,1,,1,10
TACNA,TACNA,CORONEL GREGORIO ALBARRACIN LANCHIPA,1,,,15,1,2,4,1,24
TACNA,TACNA,LA YARADA LOS PALOS,,,,1,,,,,1
TACNA,TACNA,POCOLLAY,,,,4,,,,1,5
TACNA,TACNA,TACNA,,,,5,4,1,1,2,13
TACNA,TARATA,TARUCACHI,,,,,1,,,,1
TACNA,CANDARAVE,CAIRANI,,,,,,1,,,1
TUMBES,TUMBES,CORRALES,,,,,2,1,1,1,5
TUMBES,TUMBES,LA CRUZ,,,1,,,,1,,2
TUMBES,TUMBES,PAMPAS DE HOSPITAL,,,,,,,,1,1
TUMBES,TUMBES,SAN JACINTO,,,,,,,1,,1
TUMBES,TUMBES,TUMBES,,,4,12,6,8,4,16,50
TUMBES,ZARUMILLA,AGUAS VERDES,,,,1,,,,2,3
TUMBES,ZARUMILLA,PAPAYAL,,,,1,1,,,,2
TUMBES,ZARUMILLA,ZARUMILLA,,,,3,2,1,1,1,8
TUMBES,CONTRALMIRANTE VILLAR,ZORRITOS,,,1,1,,1,,,3
UCAYALI,CORONEL PORTILLO,CALLERIA,1,4,,15,37,7,10,18,92
UCAYALI,CORONEL PORTILLO,CAMPOVERDE,,,,,6,3,3,2,14
UCAYALI,CORONEL PORTILLO,IPARIA,,,1,1,3,,,,5
UCAYALI,CORONEL PORTILLO,MANANTAY,2,17,,13,14,8,12,27,93
UCAYALI,CORONEL PORTILLO,MASISEA,,,,,1,,,2,3
UCAYALI,CORONEL PORTILLO,NUEVA REQUENA,,,,1,2,1,,,4
UCAYALI,CORONEL PORTILLO,YARINACOCHA,,,,3,7,2,9,6,27
UCAYALI,PADRE ABAD,ALEXANDER VON HUMBOLDT,,,,1,,,,,1
UCAYALI,PADRE ABAD,CURIMANA,,,,,,1,2,,3
UCAYALI,PADRE ABAD,HUIPOCA,,,,,,,,1,1
UCAYALI,PADRE ABAD,IRAZOLA,,,,,,1,5,7,13
UCAYALI,PADRE ABAD,NESHUYA,,,,,3,,,7,10
UCAYALI,PADRE ABAD,PADRE ABAD,,,,2,1,4,10,5,22
UCAYALI,ATALAYA,RAIMONDI,,,,32,36,48,80,48,244
UCAYALI,ATALAYA,RAYMONDI,3,16,25,,,,,,44
UCAYALI,ATALAYA,SEPAHUA,1,7,3,7,,1,1,1,21
UCAYALI,ATALAYA,TAHUANIA,,2,13,1,9,1,2,,28
